Gene_Symb,Transcription_Level,Hotpoint_Mutation,CRISPR_KO_Effect,Differentiation_Rate
USO1,NA/N,NA/N,NA/N,NA/N
UROD,NA/N,NA/N,NA/N,NA/N
FAM114A2,NA/N,NA/N,NA/N,NA/N
UBA2,NA/N,NA/N,NA/N,NA/N
MBNL3,NA/N,NA/N,NA/N,NA/N
CPPED1,NA/N,NA/N,NA/N,NA/N
CPSF1,NA/N,NA/N,NA/N,NA/N
PAPOLA,NA/N,NA/N,NA/N,NA/N
FIP1L1,NA/N,NA/N,NA/N,NA/N
CPSF3,NA/N,NA/N,NA/N,NA/N
CPSF2,NA/N,NA/N,NA/N,NA/N
CPSF4,NA/N,NA/N,NA/N,NA/N
CPSF4L,NA/N,NA/N,NA/N,NA/N
CPSF6,NA/N,NA/N,NA/N,NA/N
CPT1A,NA/N,NA/N,NA/N,NA/N
TMEM177,NA/N,NA/N,NA/N,NA/N
CPZ,NA/N,NA/N,NA/N,NA/N
L3HYPDH,NA/N,NA/N,NA/N,NA/N
MASP1,NA/N,NA/N,NA/N,NA/N
MCPH1,NA/N,NA/N,NA/N,NA/N
CRACR2B,NA/N,NA/N,NA/N,NA/N
CRADD,NA/N,NA/N,NA/N,NA/N
PIDD1,NA/N,NA/N,NA/N,NA/N
SS18L2,NA/N,NA/N,NA/N,NA/N
CRB1,NA/N,NA/N,NA/N,NA/N
CRB3,NA/N,NA/N,NA/N,NA/N
IKZF3,NA/N,NA/N,NA/N,NA/N
SALL4,NA/N,NA/N,NA/N,NA/N
CRCP,NA/N,NA/N,NA/N,NA/N
POLR3E,NA/N,NA/N,NA/N,NA/N
POLR3K,NA/N,NA/N,NA/N,NA/N
FHL3,NA/N,NA/N,NA/N,NA/N
NFATC2,NA/N,NA/N,NA/N,NA/N
NFIL3,NA/N,NA/N,NA/N,NA/N
CREB3L3,NA/N,NA/N,NA/N,NA/N
CREB3L2,NA/N,NA/N,NA/N,NA/N
UHRF1BP1,NA/N,NA/N,NA/N,NA/N
PDGFC,NA/N,NA/N,NA/N,NA/N
TRIM26,NA/N,NA/N,NA/N,NA/N
CREB3L1,NA/N,NA/N,NA/N,NA/N
MECOM,NA/N,NA/N,NA/N,NA/N
MAF,NA/N,NA/N,NA/N,NA/N
PTMA,NA/N,NA/N,NA/N,NA/N
MYB,NA/N,NA/N,NA/N,NA/N
CITED1,NA/N,NA/N,NA/N,NA/N
GATA1,NA/N,NA/N,NA/N,NA/N
MYBL1,NA/N,NA/N,NA/N,NA/N
GCM1,NA/N,NA/N,NA/N,NA/N
HNF1B,NA/N,NA/N,NA/N,NA/N
SOX9,NA/N,NA/N,NA/N,NA/N
GTF2B,NA/N,NA/N,NA/N,NA/N
NKX2-1,NA/N,NA/N,NA/N,NA/N
SERTAD1,NA/N,NA/N,NA/N,NA/N
HOXA9,NA/N,NA/N,NA/N,NA/N
HOXB7,NA/N,NA/N,NA/N,NA/N
MSX1,NA/N,NA/N,NA/N,NA/N
EBF1,NA/N,NA/N,NA/N,NA/N
PIAS3,NA/N,NA/N,NA/N,NA/N
KLF1,NA/N,NA/N,NA/N,NA/N
GATA2,NA/N,NA/N,NA/N,NA/N
KLF8,NA/N,NA/N,NA/N,NA/N
CREBL2,NA/N,NA/N,NA/N,NA/N
CREBRF,NA/N,NA/N,NA/N,NA/N
IGF2R,NA/N,NA/N,NA/N,NA/N
CREM,NA/N,NA/N,NA/N,NA/N
CRH,NA/N,NA/N,NA/N,NA/N
CRHR2,NA/N,NA/N,NA/N,NA/N
CRHBP,NA/N,NA/N,NA/N,NA/N
UCN,NA/N,NA/N,NA/N,NA/N
EIF1AX,NA/N,NA/N,NA/N,NA/N
CRHR1,NA/N,NA/N,NA/N,NA/N
UCN3,NA/N,NA/N,NA/N,NA/N
CRIP1,NA/N,NA/N,NA/N,NA/N
CRIPAK,NA/N,NA/N,NA/N,NA/N
CRIPT,NA/N,NA/N,NA/N,NA/N
DLG2,NA/N,NA/N,NA/N,NA/N
CRISP2,NA/N,NA/N,NA/N,NA/N
FRS2,NA/N,NA/N,NA/N,NA/N
SOS2,NA/N,NA/N,NA/N,NA/N
EFS,NA/N,NA/N,NA/N,NA/N
PPFIBP2,NA/N,NA/N,NA/N,NA/N
DOCK5,NA/N,NA/N,NA/N,NA/N
CD34,NA/N,NA/N,NA/N,NA/N
TNS2,NA/N,NA/N,NA/N,NA/N
RIN3,NA/N,NA/N,NA/N,NA/N
CROCC,NA/N,NA/N,NA/N,NA/N
CROCCP2,NA/N,NA/N,NA/N,NA/N
USP25,NA/N,NA/N,NA/N,NA/N
KLHDC4,NA/N,NA/N,NA/N,NA/N
LAMA5,NA/N,NA/N,NA/N,NA/N
LAMB2,NA/N,NA/N,NA/N,NA/N
QSOX1,NA/N,NA/N,NA/N,NA/N
PRSS23,NA/N,NA/N,NA/N,NA/N
B4GALT5,NA/N,NA/N,NA/N,NA/N
LAMA1,NA/N,NA/N,NA/N,NA/N
KLHDC3,NA/N,NA/N,NA/N,NA/N
CRTC2,NA/N,NA/N,NA/N,NA/N
PER2,NA/N,NA/N,NA/N,NA/N
RPS14,NA/N,NA/N,NA/N,NA/N
XRN2,NA/N,NA/N,NA/N,NA/N
CRYAA,NA/N,NA/N,NA/N,NA/N
CRYBA1,NA/N,NA/N,NA/N,NA/N
CRYGD,NA/N,NA/N,NA/N,NA/N
CS,NA/N,NA/N,NA/N,NA/N
PRELID1,NA/N,NA/N,NA/N,NA/N
SEH1L,NA/N,NA/N,NA/N,NA/N
NUDT16L1,NA/N,NA/N,NA/N,NA/N
CRYBA4,NA/N,NA/N,NA/N,NA/N
CRYBB1,NA/N,NA/N,NA/N,NA/N
RBP4,NA/N,NA/N,NA/N,NA/N
CRYBB2,NA/N,NA/N,NA/N,NA/N
CRYGC,NA/N,NA/N,NA/N,NA/N
CRYGB,NA/N,NA/N,NA/N,NA/N
CRYGS,NA/N,NA/N,NA/N,NA/N
CRYL1,NA/N,NA/N,NA/N,NA/N
SPG11,NA/N,NA/N,NA/N,NA/N
DYNC2H1,NA/N,NA/N,NA/N,NA/N
CRYZ,NA/N,NA/N,NA/N,NA/N
SDHB,NA/N,NA/N,NA/N,NA/N
NFU1,NA/N,NA/N,NA/N,NA/N
OXCT1,NA/N,NA/N,NA/N,NA/N
OAT,NA/N,NA/N,NA/N,NA/N
CSAG3,NA/N,NA/N,NA/N,NA/N
CSF1,NA/N,NA/N,NA/N,NA/N
IL34,NA/N,NA/N,NA/N,NA/N
CSF2,NA/N,NA/N,NA/N,NA/N
CSF3R,NA/N,NA/N,NA/N,NA/N
CSF2RA,NA/N,NA/N,NA/N,NA/N
CSF2RB,NA/N,NA/N,NA/N,NA/N
IL5,NA/N,NA/N,NA/N,NA/N
CSF3,NA/N,NA/N,NA/N,NA/N
WSB2,NA/N,NA/N,NA/N,NA/N
WSB1,NA/N,NA/N,NA/N,NA/N
CSGALNACT1,NA/N,NA/N,NA/N,NA/N
CSGALNACT2,NA/N,NA/N,NA/N,NA/N
SYNE4,NA/N,NA/N,NA/N,NA/N
NDUFB9,NA/N,NA/N,NA/N,NA/N
P2RX4,NA/N,NA/N,NA/N,NA/N
MCOLN1,NA/N,NA/N,NA/N,NA/N
LRRC57,NA/N,NA/N,NA/N,NA/N
CSH1,NA/N,NA/N,NA/N,NA/N
CSHL1,NA/N,NA/N,NA/N,NA/N
FRK,NA/N,NA/N,NA/N,NA/N
TNS3,NA/N,NA/N,NA/N,NA/N
MATK,NA/N,NA/N,NA/N,NA/N
CSN1S1,NA/N,NA/N,NA/N,NA/N
SAP130,NA/N,NA/N,NA/N,NA/N
ETV3,NA/N,NA/N,NA/N,NA/N
PDE10A,NA/N,NA/N,NA/N,NA/N
EMILIN3,NA/N,NA/N,NA/N,NA/N
CSN2,NA/N,NA/N,NA/N,NA/N
RCC1,NA/N,NA/N,NA/N,NA/N
TNFRSF1B,NA/N,NA/N,NA/N,NA/N
NFATC3,NA/N,NA/N,NA/N,NA/N
MALT1,NA/N,NA/N,NA/N,NA/N
SEC13,NA/N,NA/N,NA/N,NA/N
ZNF618,NA/N,NA/N,NA/N,NA/N
SEC23B,NA/N,NA/N,NA/N,NA/N
EPM2AIP1,NA/N,NA/N,NA/N,NA/N
SNX24,NA/N,NA/N,NA/N,NA/N
FAM83G,NA/N,NA/N,NA/N,NA/N
USP34,NA/N,NA/N,NA/N,NA/N
DBR1,NA/N,NA/N,NA/N,NA/N
RASAL2,NA/N,NA/N,NA/N,NA/N
ZSCAN18,NA/N,NA/N,NA/N,NA/N
GAPVD1,NA/N,NA/N,NA/N,NA/N
VPS13B,NA/N,NA/N,NA/N,NA/N
FAM199X,NA/N,NA/N,NA/N,NA/N
FKBPL,NA/N,NA/N,NA/N,NA/N
FAM110B,NA/N,NA/N,NA/N,NA/N
DBNDD1,NA/N,NA/N,NA/N,NA/N
PER3,NA/N,NA/N,NA/N,NA/N
OCLN,NA/N,NA/N,NA/N,NA/N
STOX2,NA/N,NA/N,NA/N,NA/N
TRIM3,NA/N,NA/N,NA/N,NA/N
CSNK1G1,NA/N,NA/N,NA/N,NA/N
CSNK1G2,NA/N,NA/N,NA/N,NA/N
RUNDC3B,NA/N,NA/N,NA/N,NA/N
GINS3,NA/N,NA/N,NA/N,NA/N
GINS2,NA/N,NA/N,NA/N,NA/N
SUB1,NA/N,NA/N,NA/N,NA/N
EEF1B2,NA/N,NA/N,NA/N,NA/N
HCLS1,NA/N,NA/N,NA/N,NA/N
SPIB,NA/N,NA/N,NA/N,NA/N
PACS1,NA/N,NA/N,NA/N,NA/N
PSMA3,NA/N,NA/N,NA/N,NA/N
EIF2S2,NA/N,NA/N,NA/N,NA/N
MME,NA/N,NA/N,NA/N,NA/N
PPBP,NA/N,NA/N,NA/N,NA/N
DEK,NA/N,NA/N,NA/N,NA/N
MPHOSPH10,NA/N,NA/N,NA/N,NA/N
RBM10,NA/N,NA/N,NA/N,NA/N
EFCAB14,NA/N,NA/N,NA/N,NA/N
EIF3C,NA/N,NA/N,NA/N,NA/N
FBRSL1,NA/N,NA/N,NA/N,NA/N
FAM133A,NA/N,NA/N,NA/N,NA/N
GPATCH2,NA/N,NA/N,NA/N,NA/N
PRRC2C,NA/N,NA/N,NA/N,NA/N
NKAPD1,NA/N,NA/N,NA/N,NA/N
HIRIP3,NA/N,NA/N,NA/N,NA/N
HAGHL,NA/N,NA/N,NA/N,NA/N
NRP1,NA/N,NA/N,NA/N,NA/N
EIF3M,NA/N,NA/N,NA/N,NA/N
TSPYL1,NA/N,NA/N,NA/N,NA/N
PHRF1,NA/N,NA/N,NA/N,NA/N
TSPYL2,NA/N,NA/N,NA/N,NA/N
GPATCH2L,NA/N,NA/N,NA/N,NA/N
LUC7L2,NA/N,NA/N,NA/N,NA/N
GALNT8,NA/N,NA/N,NA/N,NA/N
MEN1,NA/N,NA/N,NA/N,NA/N
CD163,NA/N,NA/N,NA/N,NA/N
RPS6KA5,NA/N,NA/N,NA/N,NA/N
CPNE8,NA/N,NA/N,NA/N,NA/N
CSRNP1,NA/N,NA/N,NA/N,NA/N
CSRNP2,NA/N,NA/N,NA/N,NA/N
CSRP1,NA/N,NA/N,NA/N,NA/N
CSRP3,NA/N,NA/N,NA/N,NA/N
MYOG,NA/N,NA/N,NA/N,NA/N
MYF6,NA/N,NA/N,NA/N,NA/N
LIMS1,NA/N,NA/N,NA/N,NA/N
CTSL,NA/N,NA/N,NA/N,NA/N
CST3,NA/N,NA/N,NA/N,NA/N
LGMN,NA/N,NA/N,NA/N,NA/N
CST7,NA/N,NA/N,NA/N,NA/N
ITIH3,NA/N,NA/N,NA/N,NA/N
CST9,NA/N,NA/N,NA/N,NA/N
PCP2,NA/N,NA/N,NA/N,NA/N
CSTA,NA/N,NA/N,NA/N,NA/N
CT45A5,NA/N,NA/N,NA/N,NA/N
CT55,NA/N,NA/N,NA/N,NA/N
LRBA,NA/N,NA/N,NA/N,NA/N
VPS41,NA/N,NA/N,NA/N,NA/N
SYNM,NA/N,NA/N,NA/N,NA/N
UHRF1BP1L,NA/N,NA/N,NA/N,NA/N
C12orf45,NA/N,NA/N,NA/N,NA/N
VPS16,NA/N,NA/N,NA/N,NA/N
MRRF,NA/N,NA/N,NA/N,NA/N
CTAGE6,NA/N,NA/N,NA/N,NA/N
ZEB1,NA/N,NA/N,NA/N,NA/N
ELK3,NA/N,NA/N,NA/N,NA/N
NRIP1,NA/N,NA/N,NA/N,NA/N
FOXP2,NA/N,NA/N,NA/N,NA/N
LMO4,NA/N,NA/N,NA/N,NA/N
LCOR,NA/N,NA/N,NA/N,NA/N
RREB1,NA/N,NA/N,NA/N,NA/N
TCF7L2,NA/N,NA/N,NA/N,NA/N
SOBP,NA/N,NA/N,NA/N,NA/N
LCORL,NA/N,NA/N,NA/N,NA/N
ZBTB18,NA/N,NA/N,NA/N,NA/N
RAI2,NA/N,NA/N,NA/N,NA/N
KLF3,NA/N,NA/N,NA/N,NA/N
NOL4,NA/N,NA/N,NA/N,NA/N
NOL4L,NA/N,NA/N,NA/N,NA/N
RCOR2,NA/N,NA/N,NA/N,NA/N
ZNF516,NA/N,NA/N,NA/N,NA/N
DMRTB1,NA/N,NA/N,NA/N,NA/N
PRDM2,NA/N,NA/N,NA/N,NA/N
TOR2A,NA/N,NA/N,NA/N,NA/N
PRDM16,NA/N,NA/N,NA/N,NA/N
PROX1,NA/N,NA/N,NA/N,NA/N
ZNF217,NA/N,NA/N,NA/N,NA/N
MSRB3,NA/N,NA/N,NA/N,NA/N
TEN1,NA/N,NA/N,NA/N,NA/N
CTCF,NA/N,NA/N,NA/N,NA/N
CTCFL,NA/N,NA/N,NA/N,NA/N
CTDSP1,NA/N,NA/N,NA/N,NA/N
CTH,NA/N,NA/N,NA/N,NA/N
CTIF,NA/N,NA/N,NA/N,NA/N
ZNF639,NA/N,NA/N,NA/N,NA/N
CTNNA3,NA/N,NA/N,NA/N,NA/N
GIMAP8,NA/N,NA/N,NA/N,NA/N
CDH12,NA/N,NA/N,NA/N,NA/N
CDH4,NA/N,NA/N,NA/N,NA/N
CDH10,NA/N,NA/N,NA/N,NA/N
CDH24,NA/N,NA/N,NA/N,NA/N
SPERT,NA/N,NA/N,NA/N,NA/N
TAX1BP3,NA/N,NA/N,NA/N,NA/N
HNF4A,NA/N,NA/N,NA/N,NA/N
TCF7,NA/N,NA/N,NA/N,NA/N
HDAC7,NA/N,NA/N,NA/N,NA/N
UBE2B,NA/N,NA/N,NA/N,NA/N
DOT1L,NA/N,NA/N,NA/N,NA/N
MLLT10,NA/N,NA/N,NA/N,NA/N
PLEKHA6,NA/N,NA/N,NA/N,NA/N
GLB1,NA/N,NA/N,NA/N,NA/N
NACA4P,NA/N,NA/N,NA/N,NA/N
CTSA,NA/N,NA/N,NA/N,NA/N
TK2,NA/N,NA/N,NA/N,NA/N
PRPF31,NA/N,NA/N,NA/N,NA/N
ZBTB33,NA/N,NA/N,NA/N,NA/N
PTPRJ,NA/N,NA/N,NA/N,NA/N
MUC1,NA/N,NA/N,NA/N,NA/N
PLPP3,NA/N,NA/N,NA/N,NA/N
CTNND2,NA/N,NA/N,NA/N,NA/N
CTPS2,NA/N,NA/N,NA/N,NA/N
ELOA,NA/N,NA/N,NA/N,NA/N
CTRB1,NA/N,NA/N,NA/N,NA/N
CTRC,NA/N,NA/N,NA/N,NA/N
CTRL,NA/N,NA/N,NA/N,NA/N
PSME1,NA/N,NA/N,NA/N,NA/N
CTSD,NA/N,NA/N,NA/N,NA/N
CTSE,NA/N,NA/N,NA/N,NA/N
KCTD6,NA/N,NA/N,NA/N,NA/N
CTSG,NA/N,NA/N,NA/N,NA/N
TCF25,NA/N,NA/N,NA/N,NA/N
FREM2,NA/N,NA/N,NA/N,NA/N
CTSK,NA/N,NA/N,NA/N,NA/N
CTSL3P,NA/N,NA/N,NA/N,NA/N
CTSO,NA/N,NA/N,NA/N,NA/N
LYPLA1,NA/N,NA/N,NA/N,NA/N
STRIP1,NA/N,NA/N,NA/N,NA/N
STRN4,NA/N,NA/N,NA/N,NA/N
CTTNBP2NL,NA/N,NA/N,NA/N,NA/N
STRIP2,NA/N,NA/N,NA/N,NA/N
CUBN,NA/N,NA/N,NA/N,NA/N
AMN,NA/N,NA/N,NA/N,NA/N
CUEDC2,NA/N,NA/N,NA/N,NA/N
FBXO9,NA/N,NA/N,NA/N,NA/N
FBXO3,NA/N,NA/N,NA/N,NA/N
FBXL18,NA/N,NA/N,NA/N,NA/N
FBXL8,NA/N,NA/N,NA/N,NA/N
FBXL17,NA/N,NA/N,NA/N,NA/N
HIST2H2BE,NA/N,NA/N,NA/N,NA/N
PSMB4,NA/N,NA/N,NA/N,NA/N
FBXL20,NA/N,NA/N,NA/N,NA/N
FBXO38,NA/N,NA/N,NA/N,NA/N
PFKFB3,NA/N,NA/N,NA/N,NA/N
KCTD5,NA/N,NA/N,NA/N,NA/N
FEM1C,NA/N,NA/N,NA/N,NA/N
ANKRD39,NA/N,NA/N,NA/N,NA/N
EIF5A,NA/N,NA/N,NA/N,NA/N
RNF187,NA/N,NA/N,NA/N,NA/N
TRIM44,NA/N,NA/N,NA/N,NA/N
ABTB2,NA/N,NA/N,NA/N,NA/N
ARMC5,NA/N,NA/N,NA/N,NA/N
NUP50,NA/N,NA/N,NA/N,NA/N
IPP,NA/N,NA/N,NA/N,NA/N
KLHL2,NA/N,NA/N,NA/N,NA/N
NUDCD3,NA/N,NA/N,NA/N,NA/N
PEF1,NA/N,NA/N,NA/N,NA/N
KLHL4,NA/N,NA/N,NA/N,NA/N
LRRC42,NA/N,NA/N,NA/N,NA/N
RCBTB1,NA/N,NA/N,NA/N,NA/N
KBTBD4,NA/N,NA/N,NA/N,NA/N
PLRG1,NA/N,NA/N,NA/N,NA/N
KLHL28,NA/N,NA/N,NA/N,NA/N
IBTK,NA/N,NA/N,NA/N,NA/N
KCTD7,NA/N,NA/N,NA/N,NA/N
SEC31A,NA/N,NA/N,NA/N,NA/N
BRWD1,NA/N,NA/N,NA/N,NA/N
PWP1,NA/N,NA/N,NA/N,NA/N
DCUN1D1,NA/N,NA/N,NA/N,NA/N
DCAF4L1,NA/N,NA/N,NA/N,NA/N
EEF1A1,NA/N,NA/N,NA/N,NA/N
RBM3,NA/N,NA/N,NA/N,NA/N
RBMXL2,NA/N,NA/N,NA/N,NA/N
RPS24,NA/N,NA/N,NA/N,NA/N
PHF1,NA/N,NA/N,NA/N,NA/N
LRRC41,NA/N,NA/N,NA/N,NA/N
ASB13,NA/N,NA/N,NA/N,NA/N
SOCS4,NA/N,NA/N,NA/N,NA/N
TULP4,NA/N,NA/N,NA/N,NA/N
PCMTD1,NA/N,NA/N,NA/N,NA/N
SOCS7,NA/N,NA/N,NA/N,NA/N
SOCS5,NA/N,NA/N,NA/N,NA/N
CUTA,NA/N,NA/N,NA/N,NA/N
FBLIM1,NA/N,NA/N,NA/N,NA/N
UPP1,NA/N,NA/N,NA/N,NA/N
CUTC,NA/N,NA/N,NA/N,NA/N
FRG1,NA/N,NA/N,NA/N,NA/N
CX3CL1,NA/N,NA/N,NA/N,NA/N
CX3CR1,NA/N,NA/N,NA/N,NA/N
LNX1,NA/N,NA/N,NA/N,NA/N
CXCL1,NA/N,NA/N,NA/N,NA/N
CXCL11,NA/N,NA/N,NA/N,NA/N
CXCR3,NA/N,NA/N,NA/N,NA/N
CXCL12,NA/N,NA/N,NA/N,NA/N
CXCL13,NA/N,NA/N,NA/N,NA/N
CXCL8,NA/N,NA/N,NA/N,NA/N
CXCR2,NA/N,NA/N,NA/N,NA/N
CXCR1,NA/N,NA/N,NA/N,NA/N
CXCL9,NA/N,NA/N,NA/N,NA/N
GRIA1,NA/N,NA/N,NA/N,NA/N
CXCL10,NA/N,NA/N,NA/N,NA/N
GRK3,NA/N,NA/N,NA/N,NA/N
CXorf21,NA/N,NA/N,NA/N,NA/N
CXorf56,NA/N,NA/N,NA/N,NA/N
CXorf58,NA/N,NA/N,NA/N,NA/N
GDE1,NA/N,NA/N,NA/N,NA/N
SETD1B,NA/N,NA/N,NA/N,NA/N
WDR82,NA/N,NA/N,NA/N,NA/N
WDR82P1,NA/N,NA/N,NA/N,NA/N
CYB5A,NA/N,NA/N,NA/N,NA/N
HSPA14,NA/N,NA/N,NA/N,NA/N
FUNDC2,NA/N,NA/N,NA/N,NA/N
CYBA,NA/N,NA/N,NA/N,NA/N
NCF2,NA/N,NA/N,NA/N,NA/N
CYBB,NA/N,NA/N,NA/N,NA/N
CYBRD1,NA/N,NA/N,NA/N,NA/N
CYC1,NA/N,NA/N,NA/N,NA/N
UQCRH,NA/N,NA/N,NA/N,NA/N
UQCRQ,NA/N,NA/N,NA/N,NA/N
UQCR10,NA/N,NA/N,NA/N,NA/N
CYLD,NA/N,NA/N,NA/N,NA/N
SPATA2L,NA/N,NA/N,NA/N,NA/N
MIB2,NA/N,NA/N,NA/N,NA/N
EIF4B,NA/N,NA/N,NA/N,NA/N
SERBP1,NA/N,NA/N,NA/N,NA/N
MAP4,NA/N,NA/N,NA/N,NA/N
CYP11A1,NA/N,NA/N,NA/N,NA/N
FDX1,NA/N,NA/N,NA/N,NA/N
CYP19A1,NA/N,NA/N,NA/N,NA/N
CYP1A1,NA/N,NA/N,NA/N,NA/N
LETM1,NA/N,NA/N,NA/N,NA/N
HPCAL4,NA/N,NA/N,NA/N,NA/N
PYGB,NA/N,NA/N,NA/N,NA/N
RECQL,NA/N,NA/N,NA/N,NA/N
MCTS1,NA/N,NA/N,NA/N,NA/N
ZMPSTE24,NA/N,NA/N,NA/N,NA/N
EIF2A,NA/N,NA/N,NA/N,NA/N
EIF4G2,NA/N,NA/N,NA/N,NA/N
SYAP1,NA/N,NA/N,NA/N,NA/N
CYP1A2,NA/N,NA/N,NA/N,NA/N
POR,NA/N,NA/N,NA/N,NA/N
PIEZO1,NA/N,NA/N,NA/N,NA/N
CYP2A6,NA/N,NA/N,NA/N,NA/N
RABAC1,NA/N,NA/N,NA/N,NA/N
CYP2B6,NA/N,NA/N,NA/N,NA/N
CYP2C18,NA/N,NA/N,NA/N,NA/N
CYP2C9,NA/N,NA/N,NA/N,NA/N
CYP2C19,NA/N,NA/N,NA/N,NA/N
CYP2D6,NA/N,NA/N,NA/N,NA/N
CYP2E1,NA/N,NA/N,NA/N,NA/N
CYP2S1,NA/N,NA/N,NA/N,NA/N
TXNRD2,NA/N,NA/N,NA/N,NA/N
GPRIN1,NA/N,NA/N,NA/N,NA/N
EFNA5,NA/N,NA/N,NA/N,NA/N
EPB41L2,NA/N,NA/N,NA/N,NA/N
CYP2W1,NA/N,NA/N,NA/N,NA/N
CYP39A1,NA/N,NA/N,NA/N,NA/N
UGT2B7,NA/N,NA/N,NA/N,NA/N
CYP3A5,NA/N,NA/N,NA/N,NA/N
CYP3A7,NA/N,NA/N,NA/N,NA/N
CYP4F12,NA/N,NA/N,NA/N,NA/N
CYP4F8,NA/N,NA/N,NA/N,NA/N
CYP4F2,NA/N,NA/N,NA/N,NA/N
PDR,NA/N,NA/N,NA/N,NA/N
CYP4X1,NA/N,NA/N,NA/N,NA/N
CYP51A1,NA/N,NA/N,NA/N,NA/N
CYP7B1,NA/N,NA/N,NA/N,NA/N
CYP8B1,NA/N,NA/N,NA/N,NA/N
TACSTD2,NA/N,NA/N,NA/N,NA/N
CYSLTR1,NA/N,NA/N,NA/N,NA/N
CYSLTR2,NA/N,NA/N,NA/N,NA/N
KRTAP1-3,NA/N,NA/N,NA/N,NA/N
SNAPC5,NA/N,NA/N,NA/N,NA/N
IPCEF1,NA/N,NA/N,NA/N,NA/N
MYD88,NA/N,NA/N,NA/N,NA/N
CYTH3,NA/N,NA/N,NA/N,NA/N
SYCE1,NA/N,NA/N,NA/N,NA/N
CYTH4,NA/N,NA/N,NA/N,NA/N
CYTIP,NA/N,NA/N,NA/N,NA/N
CYYR1,NA/N,NA/N,NA/N,NA/N
D2HGDH,NA/N,NA/N,NA/N,NA/N
RHOD,NA/N,NA/N,NA/N,NA/N
DAAM2,NA/N,NA/N,NA/N,NA/N
LGR4,NA/N,NA/N,NA/N,NA/N
VLDLR,NA/N,NA/N,NA/N,NA/N
DACH1,NA/N,NA/N,NA/N,NA/N
DACH2,NA/N,NA/N,NA/N,NA/N
GYG2,NA/N,NA/N,NA/N,NA/N
DACT1,NA/N,NA/N,NA/N,NA/N
SGCA,NA/N,NA/N,NA/N,NA/N
DAO,NA/N,NA/N,NA/N,NA/N
DAOA,NA/N,NA/N,NA/N,NA/N
WDFY2,NA/N,NA/N,NA/N,NA/N
PNMA6A,NA/N,NA/N,NA/N,NA/N
UNC5B,NA/N,NA/N,NA/N,NA/N
DAPK2,NA/N,NA/N,NA/N,NA/N
TCP10L,NA/N,NA/N,NA/N,NA/N
MYL12B,NA/N,NA/N,NA/N,NA/N
ZNF598,NA/N,NA/N,NA/N,NA/N
PAX5,NA/N,NA/N,NA/N,NA/N
SLC2A4,NA/N,NA/N,NA/N,NA/N
ETS1,NA/N,NA/N,NA/N,NA/N
DAZ1,NA/N,NA/N,NA/N,NA/N
DAZL,NA/N,NA/N,NA/N,NA/N
FUBP3,NA/N,NA/N,NA/N,NA/N
DBF4,NA/N,NA/N,NA/N,NA/N
ORC4,NA/N,NA/N,NA/N,NA/N
DBF4B,NA/N,NA/N,NA/N,NA/N
EVA1C,NA/N,NA/N,NA/N,NA/N
DNPEP,NA/N,NA/N,NA/N,NA/N
FGD6,NA/N,NA/N,NA/N,NA/N
DBP,NA/N,NA/N,NA/N,NA/N
CWF19L1,NA/N,NA/N,NA/N,NA/N
DCAF12L2,NA/N,NA/N,NA/N,NA/N
DCAF12L1,NA/N,NA/N,NA/N,NA/N
UTP14A,NA/N,NA/N,NA/N,NA/N
DCAF15,NA/N,NA/N,NA/N,NA/N
RUFY3,NA/N,NA/N,NA/N,NA/N
UGP2,NA/N,NA/N,NA/N,NA/N
DCAF17,NA/N,NA/N,NA/N,NA/N
DCAF4L2,NA/N,NA/N,NA/N,NA/N
PYGL,NA/N,NA/N,NA/N,NA/N
PFDN4,NA/N,NA/N,NA/N,NA/N
VBP1,NA/N,NA/N,NA/N,NA/N
PFDN6,NA/N,NA/N,NA/N,NA/N
PFDN1,NA/N,NA/N,NA/N,NA/N
HIPK2,NA/N,NA/N,NA/N,NA/N
ZNF503,NA/N,NA/N,NA/N,NA/N
PTPDC1,NA/N,NA/N,NA/N,NA/N
PFDN2,NA/N,NA/N,NA/N,NA/N
PFDN5,NA/N,NA/N,NA/N,NA/N
SMARCAL1,NA/N,NA/N,NA/N,NA/N
SOWAHC,NA/N,NA/N,NA/N,NA/N
FAM53C,NA/N,NA/N,NA/N,NA/N
SOWAHA,NA/N,NA/N,NA/N,NA/N
FARP1,NA/N,NA/N,NA/N,NA/N
DCAF8L1,NA/N,NA/N,NA/N,NA/N
DCDC2B,NA/N,NA/N,NA/N,NA/N
DCLRE1B,NA/N,NA/N,NA/N,NA/N
DCLRE1C,NA/N,NA/N,NA/N,NA/N
PRKAB2,NA/N,NA/N,NA/N,NA/N
PRKAG2,NA/N,NA/N,NA/N,NA/N
DCN,NA/N,NA/N,NA/N,NA/N
KLHL17,NA/N,NA/N,NA/N,NA/N
FAM20B,NA/N,NA/N,NA/N,NA/N
DCP1A,NA/N,NA/N,NA/N,NA/N
ZFP36,NA/N,NA/N,NA/N,NA/N
PNRC1,NA/N,NA/N,NA/N,NA/N
PATL1,NA/N,NA/N,NA/N,NA/N
GGT7,NA/N,NA/N,NA/N,NA/N
NIPSNAP2,NA/N,NA/N,NA/N,NA/N
PNRC2,NA/N,NA/N,NA/N,NA/N
DCPS,NA/N,NA/N,NA/N,NA/N
ASNS,NA/N,NA/N,NA/N,NA/N
