Gene_Symb,Transcription_Level,Hotpoint_Mutation,CRISPR_KO_Effect,Differentiation_Rate
ABRA,NA/N,NA/N,NA/N,NA/N
ABRAXAS1,NA/N,NA/N,NA/N,NA/N
UIMC1,NA/N,NA/N,NA/N,NA/N
LAMC1,NA/N,NA/N,NA/N,NA/N
WTAP,NA/N,NA/N,NA/N,NA/N
PSMC5,NA/N,NA/N,NA/N,NA/N
ALDH6A1,NA/N,NA/N,NA/N,NA/N
ABRAXAS2,NA/N,NA/N,NA/N,NA/N
TRAF7,NA/N,NA/N,NA/N,NA/N
IGHG1,NA/N,NA/N,NA/N,NA/N
IGHG2,NA/N,NA/N,NA/N,NA/N
THAP11,NA/N,NA/N,NA/N,NA/N
SHMT2,NA/N,NA/N,NA/N,NA/N
ABTB1,NA/N,NA/N,NA/N,NA/N
CARS,NA/N,NA/N,NA/N,NA/N
VARS,NA/N,NA/N,NA/N,NA/N
ZBTB21,NA/N,NA/N,NA/N,NA/N
ACAA1,NA/N,NA/N,NA/N,NA/N
C6orf226,NA/N,NA/N,NA/N,NA/N
MTHFD2,NA/N,NA/N,NA/N,NA/N
PEX7,NA/N,NA/N,NA/N,NA/N
TRAPPC9,NA/N,NA/N,NA/N,NA/N
ACAA2,NA/N,NA/N,NA/N,NA/N
SCP2,NA/N,NA/N,NA/N,NA/N
TRMT61B,NA/N,NA/N,NA/N,NA/N
PREPL,NA/N,NA/N,NA/N,NA/N
LARS2,NA/N,NA/N,NA/N,NA/N
ACACA,NA/N,NA/N,NA/N,NA/N
ACAD9,NA/N,NA/N,NA/N,NA/N
ATP5F1D,NA/N,NA/N,NA/N,NA/N
ECSIT,NA/N,NA/N,NA/N,NA/N
ATP5PO,NA/N,NA/N,NA/N,NA/N
ATP5PD,NA/N,NA/N,NA/N,NA/N
ATP5MG,NA/N,NA/N,NA/N,NA/N
ATP5F1C,NA/N,NA/N,NA/N,NA/N
ATP5PB,NA/N,NA/N,NA/N,NA/N
ATP5F1B,NA/N,NA/N,NA/N,NA/N
VDAC1,NA/N,NA/N,NA/N,NA/N
NDUFA2,NA/N,NA/N,NA/N,NA/N
DLAT,NA/N,NA/N,NA/N,NA/N
